SEGMENT	MODE	HBU_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	0.631262
1	WALKBIKE	0.862273
1	SOV	0.000000
1	HOV	-1.894912
1	POOL2	0.000000
1	POOL3	-2.001223
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.392727
1	DROPTRAN	-4.300238
1	WALKPREM	0.000000
1	WALKBUS	0.466093
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.367321
1	DROPPREM	0.000000
1	DROPBUS	1.158752
1	WALK	0.000000
1	BIKE	-5.157237
2	AUTO	0.000000
2	TRANSIT	0.000000
2	WALKBIKE	0.000000
2	SOV	0.000000
2	HOV	0.000000
2	POOL2	0.000000
2	POOL3	0.000000
2	WALKTRAN	0.000000
2	DRIVETRAN	0.000000
2	DROPTRAN	0.000000
2	WALKPREM	0.000000
2	WALKBUS	0.000000
2	DRIVEPREM	0.000000
2	DRIVEBUS	0.000000
2	DROPPREM	0.000000
2	DROPBUS	0.000000
2	WALK	0.000000
2	BIKE	0.000000
1	AUTO	0.000000
1	TRANSIT	0.735800
1	WALKBIKE	1.066359
1	SOV	0.000000
1	HOV	-1.835577
1	POOL2	0.000000
1	POOL3	-2.031658
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.462208
1	DROPTRAN	-4.378796
1	WALKPREM	0.000000
1	WALKBUS	0.458702
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.373378
1	DROPPREM	0.000000
1	DROPBUS	1.224169
1	WALK	0.000000
1	BIKE	-5.383471
2	AUTO	0.000000
2	TRANSIT	0.000000
2	WALKBIKE	0.000000
2	SOV	0.000000
2	HOV	0.000000
2	POOL2	0.000000
2	POOL3	0.000000
2	WALKTRAN	0.000000
2	DRIVETRAN	0.000000
2	DROPTRAN	0.000000
2	WALKPREM	0.000000
2	WALKBUS	0.000000
2	DRIVEPREM	0.000000
2	DRIVEBUS	0.000000
2	DROPPREM	0.000000
2	DROPBUS	0.000000
2	WALK	0.000000
2	BIKE	0.000000
