SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.936989	0.319258	-0.718554	-3.111779
1	WALKBIKE	-1.213261	-0.928657	0.008136	-0.697381
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.558797	-1.757998	-1.792206	-3.254021
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.522292	-1.219394	-2.573562	-0.850764
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-5.258478	-4.266857	-2.854286	-2.064693
1	DROPTRAN	-6.000000	-4.202173	-4.747607	-6.000000
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	-2.354191	-1.516598	-0.285011	0.622421
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	1.443763	1.862496	-2.898069	-1.051865
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-2.558922	-6.000000	-1.111316	-0.202660
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.286960	-2.701342	-4.124424	-3.035703
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	1.210047	0.634848	-0.896189	-3.212384
2	WALKBIKE	-3.541923	-2.819724	-2.590420	-1.156414
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.300487	-2.031364	-1.929390	-3.382762
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.211199	-1.455657	-2.685593	-0.949189
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	-0.921481	-0.131564	2.257425
2	DROPTRAN	-6.000000	-6.000000	-6.000000	-1.979455
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-5.428499	0.894438
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-0.608537	-6.000000	-6.000000	-0.709124
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-0.461612	-4.803799	-1.006074
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-1.123646	-1.998516	-3.596590	-2.594836
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.076477	0.399301	-0.656376	-3.095147
1	WALKBIKE	-1.569170	-1.214261	0.036004	-0.896893
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.483133	-1.764411	-1.758526	-3.268204
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.529455	-1.172992	-2.587504	-0.826182
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-5.345358	-4.342548	-2.914493	-2.089107
1	DROPTRAN	-6.000000	-4.255058	-4.761897	-6.000000
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	-2.561552	-1.673117	-0.421283	0.529334
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	1.378975	1.838974	-2.943779	-1.088520
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-2.696034	-6.000000	-1.238989	-0.275327
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-1.630666	-2.200543	-4.123072	-2.705248
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	1.465293	0.767704	-0.734824	-3.261458
2	WALKBIKE	-3.269604	-2.943305	-2.504081	-1.398680
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.227600	-2.045169	-1.898736	-3.393395
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.253630	-1.409143	-2.696220	-0.932566
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	-0.973376	-0.144372	2.295821
2	DROPTRAN	-6.000000	-6.000000	-6.000000	-1.956509
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-5.455230	1.047145
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-0.687823	-6.000000	-6.000000	-0.506326
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-0.457616	-4.637379	-0.849578
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-1.102325	-1.618274	-3.577005	-2.199779
