SEGMENT	MODE	NHB_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	-6.000000
1	WALKBIKE	-0.715929
1	SOV	0.000000
1	HOV	-0.516719
1	POOL2	0.000000
1	POOL3	-0.860192
1	WALKTRAN	0.000000
1	DRIVETRAN	6.000000
1	DROPTRAN	5.023863
1	WALKPREM	0.000000
1	WALKBUS	6.000000
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.688900
1	DROPPREM	0.000000
1	DROPBUS	1.708991
1	WALK	0.000000
1	BIKE	-4.354807
2	AUTO	0.000000
2	TRANSIT	-5.963899
2	WALKBIKE	0.940426
2	SOV	0.000000
2	HOV	-0.814197
2	POOL2	0.000000
2	POOL3	-1.714473
2	WALKTRAN	0.000000
2	DRIVETRAN	5.750376
2	DROPTRAN	1.440876
2	WALKPREM	0.000000
2	WALKBUS	3.190206
2	DRIVEPREM	0.000000
2	DRIVEBUS	6.000000
2	DROPPREM	0.000000
2	DROPBUS	6.000000
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-6.000000
1	WALKBIKE	-0.536122
1	SOV	0.000000
1	HOV	-0.293513
1	POOL2	0.000000
1	POOL3	-0.826086
1	WALKTRAN	0.000000
1	DRIVETRAN	6.000000
1	DROPTRAN	5.041087
1	WALKPREM	0.000000
1	WALKBUS	6.000000
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.727315
1	DROPPREM	0.000000
1	DROPBUS	1.663006
1	WALK	0.000000
1	BIKE	-4.381464
2	AUTO	0.000000
2	TRANSIT	-5.527132
2	WALKBIKE	1.749912
2	SOV	0.000000
2	HOV	-0.613665
2	POOL2	0.000000
2	POOL3	-1.739637
2	WALKTRAN	0.000000
2	DRIVETRAN	5.382105
2	DROPTRAN	1.233700
2	WALKPREM	0.000000
2	WALKBUS	2.966692
2	DRIVEPREM	0.000000
2	DRIVEBUS	6.000000
2	DROPPREM	0.000000
2	DROPBUS	6.000000
2	WALK	0.000000
2	BIKE	-6.000000
