SEGMENT	MODE	NHB_PEAK
1	AUTO	0.000000
1	TRANSIT	-3.238710
1	WALKBIKE	-0.809535
1	SOV	0.000000
1	HOV	-0.511852
1	POOL2	0.000000
1	POOL3	-0.547175
1	WALKTRAN	0.000000
1	DRIVETRAN	0.208071
1	DROPTRAN	-1.173443
1	WALKPREM	0.000000
1	WALKBUS	0.308082
1	DRIVEPREM	0.000000
1	DRIVEBUS	-1.229517
1	DROPPREM	0.000000
1	DROPBUS	1.344106
1	WALK	0.000000
1	BIKE	-4.017652
2	AUTO	0.000000
2	TRANSIT	-2.211011
2	WALKBIKE	0.146451
2	SOV	0.000000
2	HOV	-0.751100
2	POOL2	0.000000
2	POOL3	-0.718467
2	WALKTRAN	0.000000
2	DRIVETRAN	2.146274
2	DROPTRAN	-0.119347
2	WALKPREM	0.000000
2	WALKBUS	-2.041326
2	DRIVEPREM	0.000000
2	DRIVEBUS	-2.765191
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.698492
1	AUTO	0.000000
1	TRANSIT	-3.030122
1	WALKBIKE	-0.636470
1	SOV	0.000000
1	HOV	-0.309404
1	POOL2	0.000000
1	POOL3	-0.456302
1	WALKTRAN	0.000000
1	DRIVETRAN	0.198932
1	DROPTRAN	-1.347076
1	WALKPREM	0.000000
1	WALKBUS	0.146198
1	DRIVEPREM	0.000000
1	DRIVEBUS	-1.410195
1	DROPPREM	0.000000
1	DROPBUS	1.586928
1	WALK	0.000000
1	BIKE	-4.023112
2	AUTO	0.000000
2	TRANSIT	-1.919636
2	WALKBIKE	0.553079
2	SOV	0.000000
2	HOV	-0.535867
2	POOL2	0.000000
2	POOL3	-0.650938
2	WALKTRAN	0.000000
2	DRIVETRAN	2.074239
2	DROPTRAN	-0.205142
2	WALKPREM	0.000000
2	WALKBUS	-2.290757
2	DRIVEPREM	0.000000
2	DRIVEBUS	-3.113711
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.837947
