SEGMENT	MODE	HBU_PEAK
1	AUTO	0.000000
1	TRANSIT	-1.099308
1	WALKBIKE	1.857934
1	SOV	0.000000
1	HOV	-1.914311
1	POOL2	0.000000
1	POOL3	-1.138665
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.830403
1	DROPTRAN	-2.689630
1	WALKPREM	0.000000
1	WALKBUS	1.225690
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.827059
1	DROPPREM	0.000000
1	DROPBUS	-3.023528
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.000000
2	WALKBIKE	0.000000
2	SOV	0.000000
2	HOV	0.000000
2	POOL2	0.000000
2	POOL3	0.000000
2	WALKTRAN	0.000000
2	DRIVETRAN	0.000000
2	DROPTRAN	0.000000
2	WALKPREM	0.000000
2	WALKBUS	0.000000
2	DRIVEPREM	0.000000
2	DRIVEBUS	0.000000
2	DROPPREM	0.000000
2	DROPBUS	0.000000
2	WALK	0.000000
2	BIKE	0.000000
1	AUTO	0.000000
1	TRANSIT	-0.881287
1	WALKBIKE	2.317353
1	SOV	0.000000
1	HOV	-1.886613
1	POOL2	0.000000
1	POOL3	-1.128250
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.967032
1	DROPTRAN	-2.420066
1	WALKPREM	0.000000
1	WALKBUS	0.913115
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-4.394992
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.000000
2	WALKBIKE	0.000000
2	SOV	0.000000
2	HOV	0.000000
2	POOL2	0.000000
2	POOL3	0.000000
2	WALKTRAN	0.000000
2	DRIVETRAN	0.000000
2	DROPTRAN	0.000000
2	WALKPREM	0.000000
2	WALKBUS	0.000000
2	DRIVEPREM	0.000000
2	DRIVEBUS	0.000000
2	DROPPREM	0.000000
2	DROPBUS	0.000000
2	WALK	0.000000
2	BIKE	0.000000
