SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	-0.967166	-1.401896	-2.374664	-3.617867
1	WALKBIKE	0.139810	-0.064483	-0.346108	-0.495762
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-0.275016	0.059970	-0.040692	-0.208058
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.135010	-0.739912	-0.941503	-0.779742
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-4.614432	-4.594712	-2.843859	-2.321152
1	DROPTRAN	-4.411550	-4.795168	-4.930185	-4.805212
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	-0.311309	-0.498123	-1.472461	-4.197402
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	4.455305	-1.609076	0.607747	-2.489330
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-2.167449	-6.000000	-6.000000	-6.000000
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-5.341818	-5.408754	-5.338474	-3.767666
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	1.208484	0.627643	-1.143589	-2.059165
2	WALKBIKE	-1.531377	-1.476759	-1.498908	-1.637478
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-0.705317	-0.163742	-0.164500	-0.308929
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-1.511869	-0.934138	-1.047535	-0.867108
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-2.702578	-2.199378	0.931028	1.652725
2	DROPTRAN	-6.000000	-5.784137	-5.781744	-6.000000
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-4.701232	-6.000000
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-1.699429	-6.000000	-6.000000	-6.000000
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-1.975642	-1.716625	-2.716113	-2.458813
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-4.492040	-4.620156	-4.491155	-2.850742
