SEGMENT	MODE	HBU_PEAK
1	AUTO	0.000000
1	TRANSIT	-0.682660
1	WALKBIKE	1.331149
1	SOV	0.000000
1	HOV	-1.903749
1	POOL2	0.000000
1	POOL3	-1.268410
1	WALKTRAN	0.000000
1	DRIVETRAN	0.008212
1	DROPTRAN	-1.894367
1	WALKPREM	0.000000
1	WALKBUS	0.585538
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.510456
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.241524
2	WALKBIKE	-0.074224
2	SOV	0.000000
2	HOV	-2.228959
2	POOL2	0.000000
2	POOL3	-1.606224
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.310535
2	DROPTRAN	-2.287083
2	WALKPREM	0.000000
2	WALKBUS	1.197410
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.075037
2	WALK	0.000000
2	BIKE	-5.152971
1	AUTO	0.000000
1	TRANSIT	-0.688489
1	WALKBIKE	1.324720
1	SOV	0.000000
1	HOV	-1.903715
1	POOL2	0.000000
1	POOL3	-1.268421
1	WALKTRAN	0.000000
1	DRIVETRAN	0.007762
1	DROPTRAN	-1.832339
1	WALKPREM	0.000000
1	WALKBUS	0.469923
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.716599
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.237419
2	WALKBIKE	-0.082567
2	SOV	0.000000
2	HOV	-2.229027
2	POOL2	0.000000
2	POOL3	-1.606332
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.311005
2	DROPTRAN	-2.275360
2	WALKPREM	0.000000
2	WALKBUS	1.088761
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.129331
2	WALK	0.000000
2	BIKE	-5.154118
1	AUTO	0.000000
1	TRANSIT	-0.662177
1	WALKBIKE	1.322410
1	SOV	0.000000
1	HOV	-1.903666
1	POOL2	0.000000
1	POOL3	-1.268380
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.025766
1	DROPTRAN	-1.828186
1	WALKPREM	0.000000
1	WALKBUS	0.361100
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.856230
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.211421
2	WALKBIKE	-0.084588
2	SOV	0.000000
2	HOV	-2.228982
2	POOL2	0.000000
2	POOL3	-1.606308
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.345032
2	DROPTRAN	-2.302650
2	WALKPREM	0.000000
2	WALKBUS	0.987398
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.166275
2	WALK	0.000000
2	BIKE	-5.152843
1	AUTO	0.000000
1	TRANSIT	-0.634442
1	WALKBIKE	1.321839
1	SOV	0.000000
1	HOV	-1.903655
1	POOL2	0.000000
1	POOL3	-1.268367
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.063497
1	DROPTRAN	-1.840792
1	WALKPREM	0.000000
1	WALKBUS	0.259429
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.950604
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.185023
2	WALKBIKE	-0.084999
2	SOV	0.000000
2	HOV	-2.228971
2	POOL2	0.000000
2	POOL3	-1.606297
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.381762
2	DROPTRAN	-2.334396
2	WALKPREM	0.000000
2	WALKBUS	0.893601
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.192559
2	WALK	0.000000
2	BIKE	-5.152452
1	AUTO	0.000000
1	TRANSIT	-0.608017
1	WALKBIKE	1.321637
1	SOV	0.000000
1	HOV	-1.903651
1	POOL2	0.000000
1	POOL3	-1.268363
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.100117
1	DROPTRAN	-1.860689
1	WALKPREM	0.000000
1	WALKBUS	0.164769
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-6.000000
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.160345
2	WALKBIKE	-0.085107
2	SOV	0.000000
2	HOV	-2.228967
2	POOL2	0.000000
2	POOL3	-1.606294
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.416385
2	DROPTRAN	-2.365671
2	WALKPREM	0.000000
2	WALKBUS	0.807088
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.212018
2	WALK	0.000000
2	BIKE	-5.152297
