SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.868531	1.014168	-0.845030	-2.301491
1	WALKBIKE	-0.475694	-0.113815	0.088746	-1.380110
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.591147	-1.813272	-1.779342	-3.437833
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.403983	-1.097825	-2.555314	-0.663469
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-4.246509	-3.092378	-0.472837	0.140399
1	DROPTRAN	-4.598443	-3.098842	-3.936090	-5.374138
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.380335	1.514774	1.293860	-0.728783
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	0.559976	1.082647	-4.717738	-3.057399
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-4.799245	-4.469900	-1.638169	-0.186943
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-1.567324	-2.169532	-4.119175	-2.039358
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	4.400175	1.565186	0.754195	-3.892703
2	WALKBIKE	0.581617	-0.354683	-0.512808	1.988758
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.226460	-2.049704	-1.902578	-3.547197
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-1.932552	-1.313243	-2.680672	-0.759641
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	1.049779	-0.591452	2.664245
2	DROPTRAN	-6.000000	-5.394797	-6.000000	-3.090449
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-2.254231	-5.393651	1.725038
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-2.201091	-6.000000	-6.000000	-1.173336
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-0.883969	-3.989292	3.111081
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-1.722923	-1.823360	-3.539443	-5.947667
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.756763	0.944006	-0.889123	-2.368642
1	WALKBIKE	-0.500631	-0.129644	0.082987	-1.380884
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.589788	-1.812886	-1.779278	-3.437823
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.402923	-1.097594	-2.555252	-0.663465
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-4.052290	-2.963473	-0.351052	0.285648
1	DROPTRAN	-4.375945	-2.927481	-3.804730	-5.216104
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.297586	1.511781	1.352505	-0.594215
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	0.280615	0.930960	-4.897313	-3.181826
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-5.299781	-4.847971	-1.825603	-0.326823
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-1.568439	-2.169918	-4.118312	-2.039296
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	4.347640	1.517084	0.722321	-3.848892
2	WALKBIKE	0.546086	-0.399894	-0.531019	1.988868
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.227465	-2.048375	-1.902363	-3.547193
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-1.934773	-1.312635	-2.680469	-0.759643
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	1.139426	-0.528278	2.599940
2	DROPTRAN	-6.000000	-5.328167	-6.000000	-3.160022
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-2.316484	-5.435542	1.519706
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-2.130140	-6.000000	-6.000000	-1.173614
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-0.989608	-4.170171	3.097202
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-1.710154	-1.813658	-3.529197	-5.947949
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.740699	0.930936	-0.904057	-2.404877
1	WALKBIKE	-0.509023	-0.133716	0.082333	-1.381050
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.589036	-1.812770	-1.779269	-3.437822
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.402107	-1.097467	-2.555245	-0.663463
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-3.973874	-2.906451	-0.313002	0.359154
1	DROPTRAN	-4.284482	-2.851927	-3.727803	-5.112473
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.227109	1.511576	1.402309	-0.489898
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	0.075970	0.814136	-4.984018	-3.248969
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-5.618175	-5.078061	-1.968875	-0.442282
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-1.568789	-2.169324	-4.117853	-2.039225
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	4.310762	1.503713	0.716548	-3.801853
2	WALKBIKE	0.506837	-0.425017	-0.536614	1.988780
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.224384	-2.047518	-1.902279	-3.547192
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-1.932616	-1.311842	-2.680398	-0.759642
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	1.158861	-0.515273	2.529490
2	DROPTRAN	-6.000000	-5.289307	-6.000000	-3.227884
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-2.377209	-5.462797	1.330063
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-2.091439	-6.000000	-6.000000	-1.176066
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-1.085667	-4.288207	3.083948
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-1.705363	-1.808517	-3.526460	-5.947950
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.748889	0.928242	-0.914742	-2.428807
1	WALKBIKE	-0.511274	-0.134694	0.082271	-1.381118
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.588828	-1.812749	-1.779268	-3.437821
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.401849	-1.097435	-2.555244	-0.663463
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-3.949351	-2.874873	-0.291891	0.404062
1	DROPTRAN	-4.246290	-2.811436	-3.671228	-5.036720
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.162640	1.511496	1.444141	-0.408372
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-0.061603	0.728857	-5.022777	-3.283477
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-5.818943	-5.216703	-2.076359	-0.536402
1	WALK	0.000000	0.000000	0.000000	0.000000
