SEGMENT	MODE	NHB_PEAK
1	AUTO	0.000000
1	TRANSIT	-3.073291
1	WALKBIKE	-0.592185
1	SOV	0.000000
1	HOV	-0.295373
1	POOL2	0.000000
1	POOL3	-0.443616
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.360368
1	DROPTRAN	-5.081314
1	WALKPREM	0.000000
1	WALKBUS	0.740084
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.629069
1	DROPPREM	0.000000
1	DROPBUS	3.276519
1	WALK	0.000000
1	BIKE	-4.032293
2	AUTO	0.000000
2	TRANSIT	-2.459012
2	WALKBIKE	-0.107956
2	SOV	0.000000
2	HOV	-2.448349
2	POOL2	0.000000
2	POOL3	-2.220506
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.893548
2	DROPTRAN	-3.290781
2	WALKPREM	0.000000
2	WALKBUS	-2.529976
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.497059
1	AUTO	0.000000
1	TRANSIT	-3.136073
1	WALKBIKE	-0.593665
1	SOV	0.000000
1	HOV	-0.295369
1	POOL2	0.000000
1	POOL3	-0.443612
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.164331
1	DROPTRAN	-4.971319
1	WALKPREM	0.000000
1	WALKBUS	0.979436
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.821178
1	DROPPREM	0.000000
1	DROPBUS	3.285184
1	WALK	0.000000
1	BIKE	-4.032057
2	AUTO	0.000000
2	TRANSIT	-2.408943
2	WALKBIKE	-0.108915
2	SOV	0.000000
2	HOV	-2.448348
2	POOL2	0.000000
2	POOL3	-2.220505
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.966914
2	DROPTRAN	-3.369195
2	WALKPREM	0.000000
2	WALKBUS	-2.741418
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.497102
1	AUTO	0.000000
1	TRANSIT	-3.178655
1	WALKBIKE	-0.593678
1	SOV	0.000000
1	HOV	-0.295368
1	POOL2	0.000000
1	POOL3	-0.443611
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.049211
1	DROPTRAN	-4.902611
1	WALKPREM	0.000000
1	WALKBUS	1.169634
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.949691
1	DROPPREM	0.000000
1	DROPBUS	3.294412
1	WALK	0.000000
1	BIKE	-4.032038
2	AUTO	0.000000
2	TRANSIT	-2.369148
2	WALKBIKE	-0.108973
2	SOV	0.000000
2	HOV	-2.448345
2	POOL2	0.000000
2	POOL3	-2.220501
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.019578
2	DROPTRAN	-3.429870
2	WALKPREM	0.000000
2	WALKBUS	-2.911441
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.496976
1	AUTO	0.000000
1	TRANSIT	-3.196770
1	WALKBIKE	-0.593670
1	SOV	0.000000
1	HOV	-0.295368
1	POOL2	0.000000
1	POOL3	-0.443611
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.003975
1	DROPTRAN	-4.874034
1	WALKPREM	0.000000
1	WALKBUS	1.249920
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.995901
1	DROPPREM	0.000000
1	DROPBUS	3.299177
1	WALK	0.000000
1	BIKE	-4.032047
2	AUTO	0.000000
2	TRANSIT	-2.352587
2	WALKBIKE	-0.108956
2	SOV	0.000000
2	HOV	-2.448343
2	POOL2	0.000000
2	POOL3	-2.220500
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.041329
2	DROPTRAN	-3.455184
2	WALKPREM	0.000000
2	WALKBUS	-2.983245
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.496952
