SEGMENT	MODE	HBU_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	1.185046
1	WALKBIKE	3.050637
1	SOV	0.000000
1	HOV	-1.899198
1	POOL2	0.000000
1	POOL3	-1.980784
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.381904
1	DROPTRAN	-3.768303
1	WALKPREM	0.000000
1	WALKBUS	0.777186
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.758043
1	DROPPREM	0.000000
1	DROPBUS	-0.209231
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.618066
2	WALKBIKE	0.649008
2	SOV	0.000000
2	HOV	-2.125770
2	POOL2	0.000000
2	POOL3	-1.453951
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.939768
2	DROPTRAN	-3.939902
2	WALKPREM	0.000000
2	WALKBUS	0.744680
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.656577
2	DROPPREM	0.000000
2	DROPBUS	0.585250
2	WALK	0.000000
2	BIKE	-5.000639
1	AUTO	0.000000
1	TRANSIT	1.246627
1	WALKBIKE	3.059422
1	SOV	0.000000
1	HOV	-1.899500
1	POOL2	0.000000
1	POOL3	-1.981126
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.497553
1	DROPTRAN	-3.824926
1	WALKPREM	0.000000
1	WALKBUS	0.828278
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.573682
1	DROPPREM	0.000000
1	DROPBUS	-0.126625
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.678205
2	WALKBIKE	0.715133
2	SOV	0.000000
2	HOV	-2.128321
2	POOL2	0.000000
2	POOL3	-1.455167
2	WALKTRAN	0.000000
2	DRIVETRAN	-2.030165
2	DROPTRAN	-4.010041
2	WALKPREM	0.000000
2	WALKBUS	0.812361
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.565128
2	DROPPREM	0.000000
2	DROPBUS	0.727529
2	WALK	0.000000
2	BIKE	-5.007324
1	AUTO	0.000000
1	TRANSIT	1.248935
1	WALKBIKE	3.067678
1	SOV	0.000000
1	HOV	-1.899731
1	POOL2	0.000000
1	POOL3	-1.981344
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.534344
1	DROPTRAN	-3.849347
1	WALKPREM	0.000000
1	WALKBUS	0.875675
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.452709
1	DROPPREM	0.000000
1	DROPBUS	-0.054363
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.682582
2	WALKBIKE	0.743305
2	SOV	0.000000
2	HOV	-2.129451
2	POOL2	0.000000
2	POOL3	-1.456163
2	WALKTRAN	0.000000
2	DRIVETRAN	-2.053695
2	DROPTRAN	-4.049720
2	WALKPREM	0.000000
2	WALKBUS	0.875145
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.501218
2	DROPPREM	0.000000
2	DROPBUS	0.840649
2	WALK	0.000000
2	BIKE	-5.020621
1	AUTO	0.000000
1	TRANSIT	1.241517
1	WALKBIKE	3.071180
1	SOV	0.000000
1	HOV	-1.899827
1	POOL2	0.000000
1	POOL3	-1.981429
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.544574
1	DROPTRAN	-3.861450
1	WALKPREM	0.000000
1	WALKBUS	0.919674
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.374596
1	DROPPREM	0.000000
1	DROPBUS	0.009424
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.673835
2	WALKBIKE	0.753038
2	SOV	0.000000
2	HOV	-2.129800
2	POOL2	0.000000
2	POOL3	-1.456542
2	WALKTRAN	0.000000
2	DRIVETRAN	-2.053193
2	DROPTRAN	-4.069829
2	WALKPREM	0.000000
2	WALKBUS	0.932874
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.456009
2	DROPPREM	0.000000
2	DROPBUS	0.932884
2	WALK	0.000000
2	BIKE	-5.026230
1	AUTO	0.000000
1	TRANSIT	1.232097
1	WALKBIKE	3.072561
1	SOV	0.000000
1	HOV	-1.899865
1	POOL2	0.000000
1	POOL3	-1.981463
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.544186
1	DROPTRAN	-3.869092
1	WALKPREM	0.000000
1	WALKBUS	0.960349
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.323933
1	DROPPREM	0.000000
1	DROPBUS	0.065741
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.661780
2	WALKBIKE	0.756488
2	SOV	0.000000
2	HOV	-2.129914
2	POOL2	0.000000
2	POOL3	-1.456672
2	WALKTRAN	0.000000
2	DRIVETRAN	-2.044145
2	DROPTRAN	-4.080987
2	WALKPREM	0.000000
2	WALKBUS	0.985659
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.423507
2	DROPPREM	0.000000
2	DROPBUS	1.009040
2	WALK	0.000000
2	BIKE	-5.028410
