SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.757435	0.251120	-1.615271	-3.143755
1	WALKBIKE	0.348286	0.271827	0.269787	-1.933029
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.972784	-2.048487	-2.075288	-2.885094
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.490351	-2.139038	-1.788708	-1.448267
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.686757	-1.538424	0.064863	-0.974173
1	DROPTRAN	-3.691163	-2.957794	-1.731450	-3.528221
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.576850	1.646521	1.957461	1.569742
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-5.085817	-2.379575	-2.976788	3.939414
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-1.788466	-3.439734	-4.844981	3.584527
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.242448	-3.599449	-4.889764	-3.767328
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	2.746733	1.529290	1.237455	-1.198805
2	WALKBIKE	0.194204	-0.394184	-0.269190	0.178943
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.697235	-2.362993	-2.230655	-3.017635
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.188164	-2.423834	-1.958889	-1.583897
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-1.683580	-1.971843	0.471024	-1.944044
2	DROPTRAN	-6.000000	-3.451087	-6.000000	-4.598027
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-6.000000	-3.956306
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-6.000000	1.152126
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-0.261536	-5.899430	1.181342	1.359075
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.349924	-3.319483	-4.380108	-6.000000
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.800135	0.287268	-1.583932	-3.131983
1	WALKBIKE	0.364599	0.281741	0.271623	-1.932832
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.973695	-2.048746	-2.075319	-2.885096
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.491028	-2.139217	-1.788724	-1.448267
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.759801	-1.617447	-0.018635	-1.012590
1	DROPTRAN	-3.758957	-3.052047	-1.826946	-3.540982
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.679440	1.658657	1.929400	1.572406
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-4.861142	-2.257692	-2.878024	4.006963
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-1.626850	-3.239718	-4.651066	3.588187
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.241200	-3.599332	-4.889970	-3.767322
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	2.812206	1.532344	1.219697	-1.197867
2	WALKBIKE	0.245238	-0.374305	-0.258108	0.182144
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.698861	-2.363173	-2.230681	-3.017660
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.188321	-2.423981	-1.958904	-1.583917
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-1.661499	-1.859117	0.528612	-1.951188
2	DROPTRAN	-6.000000	-3.475730	-6.000000	-4.594872
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-6.000000	-3.839630
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-6.000000	1.163606
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-0.211401	-5.750959	1.195561	1.368389
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.357892	-3.336397	-4.396520	-6.000000
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.787305	0.289137	-1.574343	-3.124327
1	WALKBIKE	0.368206	0.283769	0.272030	-1.932754
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.973993	-2.048810	-2.075326	-2.885097
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.491329	-2.139258	-1.788728	-1.448268
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.762090	-1.643247	-0.051784	-1.038770
1	DROPTRAN	-3.780538	-3.090896	-1.865078	-3.552392
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.764194	1.669345	1.908248	1.575918
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-4.742991	-2.177592	-2.815603	4.054361
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-1.498713	-3.112829	-4.548174	3.591901
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.241770	-3.600132	-4.890190	-3.767356
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	2.841708	1.527248	1.203459	-1.204015
2	WALKBIKE	0.278756	-0.372983	-0.261139	0.183370
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.701896	-2.363114	-2.230597	-3.017668
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.191193	-2.423943	-1.958842	-1.583927
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-1.653189	-1.833958	0.560162	-1.946398
2	DROPTRAN	-6.000000	-3.499713	-6.000000	-4.585349
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-6.000000	-3.750163
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-6.000000	1.175227
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-0.166465	-5.649326	1.209530	1.376772
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.362308	-3.339772	-4.397280	-6.000000
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.770277	0.287423	-1.568821	-3.119348
1	WALKBIKE	0.369052	0.284157	0.272118	-1.932697
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.974043	-2.048819	-2.075328	-2.885098
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.491387	-2.139265	-1.788729	-1.448268
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.752592	-1.657317	-0.070975	-1.056601
1	DROPTRAN	-3.792015	-3.113604	-1.886006	-3.560328
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.838258	1.679117	1.891725	1.579669
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-4.672818	-2.122606	-2.776539	4.087686
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-1.394873	-3.029541	-4.493117	3.595605
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.242249	-3.600415	-4.890240	-3.767384
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	2.855215	1.524609	1.192637	-1.213420
2	WALKBIKE	0.295155	-0.374241	-0.264388	0.183850
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.703337	-2.363059	-2.230536	-3.017670
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.192762	-2.423895	-1.958791	-1.583931
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-1.649242	-1.828743	0.577416	-1.935938
2	DROPTRAN	-6.000000	-3.521350	-6.000000	-4.571951
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-6.000000	-3.680760
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-6.000000	1.186108
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-0.125596	-5.577337	1.223078	1.384503
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.365142	-3.340050	-4.396618	-6.000000
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.754559	0.285428	-1.564840	-3.116197
