SEGMENT	MODE	HBU_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	0.915101
1	WALKBIKE	3.075884
1	SOV	0.000000
1	HOV	-1.899784
1	POOL2	0.000000
1	POOL3	-1.981369
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.132304
1	DROPTRAN	-3.743365
1	WALKPREM	0.000000
1	WALKBUS	2.166077
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.390057
1	DROPPREM	0.000000
1	DROPBUS	0.931431
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.303160
2	WALKBIKE	0.763480
2	SOV	0.000000
2	HOV	-2.129684
2	POOL2	0.000000
2	POOL3	-1.456427
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.578988
2	DROPTRAN	-3.817385
2	WALKPREM	0.000000
2	WALKBUS	2.280148
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.977726
2	DROPPREM	0.000000
2	DROPBUS	1.495503
2	WALK	0.000000
2	BIKE	-5.043010
1	AUTO	0.000000
1	TRANSIT	0.931583
1	WALKBIKE	3.075853
1	SOV	0.000000
1	HOV	-1.899784
1	POOL2	0.000000
1	POOL3	-1.981370
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.155036
1	DROPTRAN	-3.753901
1	WALKPREM	0.000000
1	WALKBUS	2.108734
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.397773
1	DROPPREM	0.000000
1	DROPBUS	0.896977
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.323129
2	WALKBIKE	0.763580
2	SOV	0.000000
2	HOV	-2.129701
2	POOL2	0.000000
2	POOL3	-1.456445
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.606343
2	DROPTRAN	-3.839933
2	WALKPREM	0.000000
2	WALKBUS	2.212157
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.986838
2	DROPPREM	0.000000
2	DROPBUS	1.476840
2	WALK	0.000000
2	BIKE	-5.042730
1	AUTO	0.000000
1	TRANSIT	0.946726
1	WALKBIKE	3.075823
1	SOV	0.000000
1	HOV	-1.899784
1	POOL2	0.000000
1	POOL3	-1.981371
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.176015
1	DROPTRAN	-3.763697
1	WALKPREM	0.000000
1	WALKBUS	2.055987
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.404517
1	DROPPREM	0.000000
1	DROPBUS	0.865558
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.341305
2	WALKBIKE	0.763665
2	SOV	0.000000
2	HOV	-2.129716
2	POOL2	0.000000
2	POOL3	-1.456461
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.631184
2	DROPTRAN	-3.860440
2	WALKPREM	0.000000
2	WALKBUS	2.150149
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.995332
2	DROPPREM	0.000000
2	DROPBUS	1.459776
2	WALK	0.000000
2	BIKE	-5.042467
1	AUTO	0.000000
1	TRANSIT	0.960633
1	WALKBIKE	3.075795
1	SOV	0.000000
1	HOV	-1.899784
1	POOL2	0.000000
1	POOL3	-1.981372
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.195335
1	DROPTRAN	-3.772790
1	WALKPREM	0.000000
1	WALKBUS	2.007489
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.410514
1	DROPPREM	0.000000
1	DROPBUS	0.836902
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.357838
2	WALKBIKE	0.763736
2	SOV	0.000000
2	HOV	-2.129730
2	POOL2	0.000000
2	POOL3	-1.456477
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.653728
2	DROPTRAN	-3.879063
2	WALKPREM	0.000000
2	WALKBUS	2.093644
2	DRIVEPREM	0.000000
2	DRIVEBUS	-1.003227
2	DROPPREM	0.000000
2	DROPBUS	1.444157
2	WALK	0.000000
2	BIKE	-5.042221
1	AUTO	0.000000
1	TRANSIT	0.973399
1	WALKBIKE	3.075769
1	SOV	0.000000
1	HOV	-1.899784
1	POOL2	0.000000
1	POOL3	-1.981373
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.213099
1	DROPTRAN	-3.781218
1	WALKPREM	0.000000
1	WALKBUS	1.962915
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.415910
1	DROPPREM	0.000000
1	DROPBUS	0.810761
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.372867
2	WALKBIKE	0.763795
2	SOV	0.000000
2	HOV	-2.129743
2	POOL2	0.000000
2	POOL3	-1.456490
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.674180
2	DROPTRAN	-3.895956
2	WALKPREM	0.000000
2	WALKBUS	2.042189
2	DRIVEPREM	0.000000
2	DRIVEBUS	-1.010546
2	DROPPREM	0.000000
2	DROPBUS	1.429847
2	WALK	0.000000
2	BIKE	-5.041991
