SEGMENT	MODE	NHB_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	-3.401525
1	WALKBIKE	-0.537826
1	SOV	0.000000
1	HOV	-0.287962
1	POOL2	0.000000
1	POOL3	-0.817484
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.497544
1	DROPTRAN	-3.192804
1	WALKPREM	0.000000
1	WALKBUS	2.268258
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.521285
1	DROPPREM	0.000000
1	DROPBUS	-2.382215
1	WALK	0.000000
1	BIKE	-4.352953
2	AUTO	0.000000
2	TRANSIT	-2.252817
2	WALKBIKE	1.848636
2	SOV	0.000000
2	HOV	-1.117684
2	POOL2	0.000000
2	POOL3	-1.559863
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.484940
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.626845
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.583145
2	DROPPREM	0.000000
2	DROPBUS	-0.477289
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.301858
1	WALKBIKE	-0.537373
1	SOV	0.000000
1	HOV	-0.287964
1	POOL2	0.000000
1	POOL3	-0.817485
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.692101
1	DROPTRAN	-3.390077
1	WALKPREM	0.000000
1	WALKBUS	1.946821
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.337937
1	DROPPREM	0.000000
1	DROPBUS	-2.258414
1	WALK	0.000000
1	BIKE	-4.353068
2	AUTO	0.000000
2	TRANSIT	-2.273921
2	WALKBIKE	1.848499
2	SOV	0.000000
2	HOV	-1.117685
2	POOL2	0.000000
2	POOL3	-1.559864
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.457818
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.539548
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.562634
2	DROPPREM	0.000000
2	DROPBUS	-0.466280
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.220657
1	WALKBIKE	-0.537352
1	SOV	0.000000
1	HOV	-0.287964
1	POOL2	0.000000
1	POOL3	-0.817486
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.809406
1	DROPTRAN	-3.529760
1	WALKPREM	0.000000
1	WALKBUS	1.662153
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.286571
1	DROPPREM	0.000000
1	DROPBUS	-2.196093
1	WALK	0.000000
1	BIKE	-4.353080
2	AUTO	0.000000
2	TRANSIT	-2.291113
2	WALKBIKE	1.848400
2	SOV	0.000000
2	HOV	-1.117686
2	POOL2	0.000000
2	POOL3	-1.559864
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.435703
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.468930
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.546057
2	DROPPREM	0.000000
2	DROPBUS	-0.457544
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.150503
1	WALKBIKE	-0.537345
1	SOV	0.000000
1	HOV	-0.287964
1	POOL2	0.000000
1	POOL3	-0.817486
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.905833
1	DROPTRAN	-3.641849
1	WALKPREM	0.000000
1	WALKBUS	1.412605
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.287328
1	DROPPREM	0.000000
1	DROPBUS	-2.170967
1	WALK	0.000000
1	BIKE	-4.353076
2	AUTO	0.000000
2	TRANSIT	-2.305129
2	WALKBIKE	1.848325
2	SOV	0.000000
2	HOV	-1.117686
2	POOL2	0.000000
2	POOL3	-1.559865
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.417660
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.411693
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.532679
2	DROPPREM	0.000000
2	DROPBUS	-0.450586
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.090307
1	WALKBIKE	-0.537341
1	SOV	0.000000
1	HOV	-0.287964
1	POOL2	0.000000
1	POOL3	-0.817485
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.986498
1	DROPTRAN	-3.732446
1	WALKPREM	0.000000
1	WALKBUS	1.195724
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.307982
1	DROPPREM	0.000000
1	DROPBUS	-2.168103
1	WALK	0.000000
1	BIKE	-4.353071
2	AUTO	0.000000
2	TRANSIT	-2.316560
2	WALKBIKE	1.848268
2	SOV	0.000000
2	HOV	-1.117687
2	POOL2	0.000000
2	POOL3	-1.559865
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.402933
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.365226
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.521877
2	DROPPREM	0.000000
2	DROPBUS	-0.445022
2	WALK	0.000000
2	BIKE	-6.000000
