SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	-1.469298	-1.944672	-3.068873	-4.255306
1	WALKBIKE	0.245585	-0.212499	-0.661953	-0.755605
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-0.283332	0.052113	-0.042088	-0.200141
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.169443	-0.733994	-0.983464	-0.783503
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-1.603478	-1.822177	-1.525142	0.325724
1	DROPTRAN	-3.177115	-3.308622	-4.544863	-3.001227
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	1.690359	1.134186	-0.826510	-2.315776
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-0.321926	-5.466525	-0.496359	-5.546643
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-2.787934	-4.815710	-5.980918	-6.000000
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-4.709939	-5.526667	-5.065551	-3.427273
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	1.859318	0.440568	-2.264071	-3.189603
2	WALKBIKE	2.496498	-0.878114	-1.532937	0.341439
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-0.731334	-0.147531	-0.149052	-0.285241
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-1.573924	-0.908218	-1.077209	-0.857448
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-4.742917	-2.514903	1.630914	2.916221
2	DROPTRAN	-6.000000	-4.760434	-4.548061	-4.220189
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-4.269361	-4.096281	-3.714268	-5.057436
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	0.690181	-5.946852	-6.000000	-6.000000
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-3.093963	-6.000000	-2.341384	-2.430196
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-6.000000	-5.231677	-4.522764	-4.802756
