SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.886244	0.235477	-1.658232	-3.318443
1	WALKBIKE	0.536901	0.150118	0.021904	-2.022922
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.862038	-1.949622	-1.959221	-2.771476
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.503747	-2.164274	-1.795348	-1.456172
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.339756	-1.152090	0.497100	-0.378523
1	DROPTRAN	-3.456145	-2.801965	-1.585117	-3.059352
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	1.127615	1.737627	1.833880	1.633332
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-4.038396	-1.444996	-2.140998	4.719228
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-1.085287	-2.516505	-4.075122	3.633128
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.380150	-3.443385	-4.666730	-3.664970
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	3.313458	2.716567	2.100420	-0.008859
2	WALKBIKE	0.728572	0.185854	0.005813	0.258695
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.678055	-2.341102	-2.173246	-2.944264
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.121907	-2.494260	-1.990410	-1.603888
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-1.608024	-1.817108	1.117745	-1.402969
2	DROPTRAN	-6.000000	-3.409137	-6.000000	-4.602867
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-6.000000	-3.364796
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-6.000000	0.115455
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-0.668752	-6.000000	1.229976	1.266701
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.571991	-3.302201	-4.364289	-6.000000
