SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	-1.263916	-1.474905	-2.254350	-4.493408
1	WALKBIKE	0.680197	1.285217	0.473160	0.071218
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-0.223821	0.195162	0.150232	0.022635
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-0.529879	-0.266923	-0.281815	-0.385591
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.672821	-1.967605	-0.839239	0.753655
1	DROPTRAN	-4.538784	-2.134193	-3.346562	-2.535403
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	1.157153	0.794707	-1.454690	-0.086956
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-1.115152	-6.000000	-6.000000	-5.997599
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-0.198658	-4.573921	-5.902529	-5.061681
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-6.000000	-6.000000	-6.000000	-4.463706
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	-0.932865	-2.145964	-1.638370	-3.498037
2	WALKBIKE	-1.094167	-0.143910	-0.744271	-1.154237
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-0.739627	-0.063589	0.011438	-0.094081
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-0.996003	-0.500269	-0.410295	-0.489546
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-2.828511	1.397893	0.373771	0.197137
2	DROPTRAN	-4.592238	-2.538033	-4.343936	-4.256948
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-1.128884	2.277285	-2.414752	-5.954398
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-1.957922	-6.000000	-6.000000	-6.000000
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-3.836416	1.673563	-3.972246	-3.204649
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-5.993750	-5.622463	-5.243888	-3.504796
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	-1.297537	-1.498095	-2.237738	-4.494718
1	WALKBIKE	0.682945	1.286064	0.473447	0.071231
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-0.223812	0.195154	0.150225	0.022634
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-0.529878	-0.266923	-0.281816	-0.385591
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.657390	-1.945564	-0.885541	0.742635
1	DROPTRAN	-4.500910	-2.157625	-3.412042	-2.575806
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	1.333451	0.916978	-1.465053	-0.028226
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-1.005310	-6.000000	-6.000000	-5.986318
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-0.136378	-4.381244	-5.786871	-4.923782
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-6.000000	-6.000000	-6.000000	-4.463710
2	AUTO	0.000000	0.000000	0.000000	0.000000
