SEGMENT	MODE	NHB_PEAK
1	AUTO	0.000000
1	TRANSIT	-3.289348
1	WALKBIKE	-0.608325
1	SOV	0.000000
1	HOV	-0.370426
1	POOL2	0.000000
1	POOL3	-0.443248
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.807744
1	DROPTRAN	-4.660249
1	WALKPREM	0.000000
1	WALKBUS	1.813474
1	DRIVEPREM	0.000000
1	DRIVEBUS	-1.074911
1	DROPPREM	0.000000
1	DROPBUS	3.355761
1	WALK	0.000000
1	BIKE	-4.022101
2	AUTO	0.000000
2	TRANSIT	-2.288915
2	WALKBIKE	-0.108608
2	SOV	0.000000
2	HOV	-2.499808
2	POOL2	0.000000
2	POOL3	-2.218437
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.142223
2	DROPTRAN	-3.634163
2	WALKPREM	0.000000
2	WALKBUS	-3.213246
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.495876
1	AUTO	0.000000
1	TRANSIT	-3.333683
1	WALKBIKE	-0.608149
1	SOV	0.000000
1	HOV	-0.370484
1	POOL2	0.000000
1	POOL3	-0.443249
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.760433
1	DROPTRAN	-4.593068
1	WALKPREM	0.000000
1	WALKBUS	2.015141
1	DRIVEPREM	0.000000
1	DRIVEBUS	-1.009952
1	DROPPREM	0.000000
1	DROPBUS	3.378743
1	WALK	0.000000
1	BIKE	-4.022149
2	AUTO	0.000000
2	TRANSIT	-2.332269
2	WALKBIKE	-0.107819
2	SOV	0.000000
2	HOV	-2.499817
2	POOL2	0.000000
2	POOL3	-2.218444
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.088021
2	DROPTRAN	-3.567508
2	WALKPREM	0.000000
2	WALKBUS	-2.973003
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.496350
1	AUTO	0.000000
1	TRANSIT	-3.369664
1	WALKBIKE	-0.608144
1	SOV	0.000000
1	HOV	-0.370499
1	POOL2	0.000000
1	POOL3	-0.443249
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.723232
1	DROPTRAN	-4.542692
1	WALKPREM	0.000000
1	WALKBUS	2.174758
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.951983
1	DROPPREM	0.000000
1	DROPBUS	3.401869
1	WALK	0.000000
1	BIKE	-4.022172
2	AUTO	0.000000
2	TRANSIT	-2.368256
2	WALKBIKE	-0.107837
2	SOV	0.000000
2	HOV	-2.499818
2	POOL2	0.000000
2	POOL3	-2.218447
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.041241
2	DROPTRAN	-3.511260
2	WALKPREM	0.000000
2	WALKBUS	-2.794691
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.496390
