SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.346156	0.553328	-0.518190	-2.637274
1	WALKBIKE	-1.795711	-1.507402	-0.233194	-1.110291
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.498846	-1.763867	-1.758169	-3.269349
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.559867	-1.174855	-2.587697	-0.827667
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-5.837761	-4.636301	-3.209833	-2.130127
1	DROPTRAN	-6.000000	-4.393707	-4.888533	-6.000000
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	-2.293564	-1.493248	-0.432888	-0.482836
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	1.960125	2.282747	-2.519324	-2.164475
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-2.491942	-6.000000	-1.162579	-0.281578
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-1.407194	-1.979111	-3.916442	-2.554394
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	1.834226	0.957126	-0.431981	-2.810574
2	WALKBIKE	-2.697417	-2.708374	-2.270277	-1.226554
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.315226	-2.102595	-1.916630	-3.402706
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.171214	-1.432566	-2.720548	-0.943577
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	-1.644684	-0.934768	1.385165
2	DROPTRAN	-6.000000	-6.000000	-6.000000	-2.485650
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-5.970148	-0.260481
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-0.899546	-6.000000	-6.000000	-0.131978
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-0.553636	-4.889064	-0.915979
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-0.918809	-1.568729	-3.626854	-2.150253
