SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	0.288608	0.075066	-1.255248	-2.868118
1	WALKBIKE	-0.162647	0.295400	0.828866	-0.825583
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-3.375049	-1.962403	-1.951090	-2.757355
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.481322	-2.111185	-1.800037	-1.507356
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-6.000000	-3.699042	-3.183403	-2.057236
1	DROPTRAN	-4.788431	-4.199419	-2.715189	-4.558203
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	-0.876763	-0.364133	-0.185166	-1.136512
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	4.578626	-0.205694	0.287923	0.197655
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-1.018898	-2.184348	-5.305758	2.074449
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.249812	-3.090946	-4.704865	-3.367493
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	1.050175	0.021329	0.959538	-2.125611
2	WALKBIKE	-1.754604	-1.794852	-0.585001	-1.388503
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.838743	-2.357597	-2.163090	-2.940017
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.330861	-2.486096	-1.982190	-1.660780
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-2.674375	-1.757348	0.192761	0.512332
2	DROPTRAN	-6.000000	-3.712486	-6.000000	-2.434812
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-6.000000	-6.000000	3.817363
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-6.000000	-2.442721
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-1.106346	-6.000000	-0.036927	1.787289
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.237518	-2.706261	-4.122084	-2.813310
